iter	Passed	Remaining
0	5	532
1	7	368
2	10	355
3	15	367
4	21	410
5	24	382
6	27	361
7	30	351
8	47	476
9	56	508
10	60	493
11	71	526
12	74	500
13	79	487
14	85	482
15	88	462
16	91	447
17	99	453
18	103	442
19	105	420
20	108	408
21	109	388
22	117	393
23	123	391
24	126	379
25	129	367
26	133	360
27	142	367
28	148	364
29	154	359
30	155	346
31	157	334
32	160	325
33	172	335
34	175	326
35	178	317
36	187	319
37	191	312
38	196	307
39	200	300
40	204	293
41	224	309
42	240	318
43	243	309
44	252	308
45	254	298
46	256	289
47	259	281
48	263	274
49	267	267
50	270	259
51	276	255
52	280	248
53	283	241
54	286	234
55	289	227
56	297	224
57	302	218
58	309	215
59	313	209
60	316	202
61	320	196
62	327	192
63	331	186
64	334	180
65	339	174
66	345	170
67	352	165
68	373	167
69	376	161
70	382	156
71	389	151
72	396	146
73	407	143
74	418	139
75	424	133
76	459	137
77	469	132
78	472	125
79	476	119
80	479	112
81	490	107
82	497	101
83	500	95
84	503	88
85	507	82
86	510	76
87	517	70
88	522	64
89	525	58
90	530	52
91	533	46
92	537	40
93	554	35
94	558	29
95	565	23
96	568	17
97	572	11
98	578	5
99	581	0
