iter	Passed	Remaining
0	45	45786
1	50	24987
2	58	19552
3	61	15422
4	67	13442
5	70	11707
6	73	10449
7	77	9645
8	97	10704
9	101	10018
10	104	9371
11	117	9683
12	120	9174
13	129	9104
14	131	8665
15	134	8291
16	152	8795
17	155	8500
18	163	8428
19	165	8098
20	169	7896
21	175	7790
22	178	7581
23	182	7422
24	185	7243
25	190	7154
26	242	8727
27	246	8554
28	255	8540
29	258	8353
30	261	8172
31	265	8016
32	272	7992
33	276	7849
34	279	7717
35	282	7578
36	286	7446
37	291	7384
38	327	8078
39	333	7992
40	339	7947
41	344	7860
42	348	7759
43	355	7723
44	358	7618
45	362	7511
46	389	7898
47	394	7819
48	398	7733
49	405	7698
50	407	7591
51	433	7894
52	441	7884
53	450	7898
54	463	7962
55	469	7916
56	472	7816
57	484	7861
58	486	7767
59	545	8539
60	548	8446
61	554	8383
62	562	8362
63	625	9142
64	633	9107
65	636	9008
66	640	8924
67	643	8821
68	646	8727
69	649	8633
70	653	8552
71	656	8466
72	659	8378
73	692	8659
74	693	8554
75	696	8466
76	700	8392
77	709	8384
78	712	8303
79	715	8223
80	720	8179
81	723	8104
82	726	8029
83	740	8080
84	742	7993
85	745	7919
86	751	7883
87	754	7814
88	757	7748
89	760	7687
90	766	7655
91	769	7594
92	778	7588
93	784	7561
94	810	7723
95	819	7714
96	820	7640
97	823	7578
98	826	7517
99	833	7500
100	845	7527
101	848	7469
102	851	7414
103	972	8375
104	978	8338
105	981	8277
106	1157	9663
107	1162	9602
108	1165	9528
109	1172	9482
110	1176	9419
111	1179	9349
112	1413	11095
113	1428	11099
114	1463	11262
115	1475	11241
116	1489	11242
117	1492	11155
118	1495	11069
119	1501	11011
120	1504	10929
121	1687	12142
122	1688	12035
123	1690	11944
124	1696	11874
125	1698	11778
126	1716	11798
127	1770	12060
128	1774	11981
129	1779	11912
130	1782	11824
131	1785	11740
132	1788	11657
133	1791	11575
134	1797	11518
135	1800	11440
136	1803	11361
137	1807	11289
138	1821	11284
139	1825	11216
140	1831	11154
141	1834	11082
142	1837	11013
143	1842	10952
144	1845	10881
145	1848	10812
146	1861	10803
147	1865	10739
148	1893	10813
149	1896	10748
150	1899	10682
151	1903	10618
152	1917	10616
153	1924	10572
154	1927	10506
155	1930	10444
156	1933	10380
157	1939	10335
158	1942	10273
159	1945	10213
160	1948	10153
161	1955	10117
162	1958	10058
163	1961	10001
164	1987	10058
165	1991	10006
166	2002	9986
167	2008	9947
168	2012	9893
169	2020	9867
170	2025	9818
171	2028	9766
172	2054	9822
173	2057	9769
174	2061	9716
175	2076	9720
176	2087	9708
177	2091	9658
178	2097	9619
179	2100	9567
180	2103	9516
181	2106	9467
182	2110	9423
183	2114	9378
184	2168	9553
185	2173	9510
186	2182	9487
187	2185	9438
188	2188	9390
189	2192	9347
190	2195	9298
191	2198	9250
